+0,01,19,0,0,0,0,13
+0,01,20,0,0,0,0,14
+0,01,21,0,0,0,0,15
+0,01,22,0,0,0,0,16
+0,01,23,0,0,0,0,17
+0,01,24,0,0,0,0,18
+0,01,25,0,0,0,0,19
+0,01,26,0,0,0,0,20
+0,01,27,0,0,0,0,21
+0,01,28,0,0,0,0,22
+0,01,29,0,0,0,0,23
+0,01,30,0,0,0,0,24
+0,02,01,0,0,0,1,24
+0,02,02,0,0,0,1,25
+0,02,03,0,0,0,1,26
+0,02,04,0,0,0,1,0
+0,02,05,0,0,0,1,1
+0,02,06,0,0,0,1,2
+0,02,07,0,0,0,1,3
+0,02,08,0,0,0,1,4
+0,02,09,0,0,0,1,5
+0,02,10,1,0,0,1,6
+0,02,11,0,0,0,1,7
+0,02,12,0,1,0,1,8
+0,02,13,0,0,0,1,9
+0,02,14,1,0,0,1,10
+0,02,15,0,0,0,0,11
+0,02,16,0,0,0,0,12
+0,02,17,0,0,0,0,13
+0,02,18,0,0,0,0,14
+0,02,19,0,0,0,0,15
